time,temperature,humidity
2025-01-25 16:17:04,34.60,42.40
2025-01-25 16:17:07,34.60,42.30
2025-01-25 16:17:10,34.60,42.20
2025-01-25 16:17:14,34.60,42.20
2025-01-25 16:17:17,34.60,42.10
2025-01-25 16:17:20,34.60,42.20
2025-01-25 16:17:23,34.60,42.20
2025-01-25 16:17:27,34.60,42.20
2025-01-25 16:17:30,34.60,42.20
2025-01-25 16:17:33,34.60,42.10
2025-01-25 16:17:37,34.60,42.00
2025-01-25 16:17:40,34.60,42.20
2025-01-25 16:17:43,34.60,42.00
2025-01-25 16:17:46,34.60,41.90
2025-01-25 16:17:50,34.60,41.90
2025-01-25 16:17:53,34.60,42.00
